id,name,cleanName,dog_yes_votes,dog_no_votes,cat_yes_votes,cat_no_votes,animal_yes_votes,animal_no_votes
12188,The Shawshank Redemption,shawshank redemption,0,41,0,29,2,29
11800,The Godfather,godfather,56,40,0,45,43,8
11694,The Dark Knight,dark knight,41,4,2,26,9,17
11982,The Lord of the Rings: The Return of the King,lord rings return king,5,31,2,29,37,0
1070038,Schindler's List,schindlers list,258,98,3,23,16,26
15984,The Godfather Part II,godfather ii,0,14,0,6,0,4
165237,12 Angry Men,12 angry men,0,18,0,12,0,17
11981,The Lord of the Rings: The Fellowship of the Ring,lord rings fellowship ring,0,81,1,70,55,3
10072,Inception,inception,1,37,0,32,0,34
9593,Fight Club,fight club,3,116,0,78,0,74
9641,Forrest Gump,forrest gump,0,40,1,26,11,23
10957,Pulp Fiction,pulp fiction,1,84,0,63,5,51
11980,The Lord of the Rings: The Two Towers,lord rings ii towers,19,14,1,25,32,0
20616,"The Good, the Bad and the Ugly",good bad ugly,0,22,0,20,4,14
10103,Interstellar,interstellar,1,63,0,52,0,48
12006,The Matrix,matrix,3,57,2,48,2,41
11381,The Empire Strikes Back,empire strikes back,0,31,0,25,37,2
9793,Goodfellas,goodfellas,0,33,0,22,0,21
10771,One Flew Over the Cuckoos Nest,one flew over cuckoos nest,0,20,0,13,19,4
41616,Se7en,se7en,47,10,0,27,6,16
12192,The Silence of the Lambs,silence lambs,19,179,4,137,158,12
13741,Saving Private Ryan,saving private ryan,6,27,0,15,22,2
27949,Star Wars,star wars,3,20,0,18,3,9
11819,The Green Mile,green mile,28,18,0,25,49,0
14716,Terminator 2: Judgment Day,terminator ii judgment day,46,2,2,27,20,10
11349,Spirited Away,spirited away,1,80,0,76,3,62
15746,City of God,city god,0,9,0,7,22,0
14541,Life Is Beautiful,life beautiful,0,9,0,8,0,7
9383,Django Unchained,django unchained,6,43,0,35,56,8
9760,Gladiator,gladiator,0,50,34,7,55,3
12110,The Prestige,prestige,5,38,0,33,45,0
11710,The Departed,departed,0,22,0,22,1,20
8794,Back to the Future,back future,2,67,0,51,0,55
17687,Léon: The Professional,léon professional,0,23,0,19,0,18
8666,American History X,american history x,0,26,0,19,0,18
11967,The Lion King,lion king,14,75,113,10,98,1
12273,The Usual Suspects,usual suspects,21,6,0,13,12,5
12593,Whiplash,whiplash,0,43,0,37,0,36
19408,Parasite,parasite,15,244,2,169,13,161
500003,Alien,alien,7,191,5,195,4,154
11902,The Intouchables,intouchables,0,7,0,9,0,8
12095,The Pianist,pianist,0,12,0,8,0,8
10955,Psycho,psycho,0,45,0,48,5,44
1070684,Dune: Part Two,dune ii,2,50,0,34,55,2
9092,Casablanca,casablanca,0,16,0,15,0,15
10129,Its a Wonderful Life,skits wonderful life,1,11,0,11,0,9
11200,Seven Samurai,seven samurai,0,9,0,8,0,8
11695,The Dark Knight Rises,dark knight rises,0,10,0,7,0,7
10082,Inglourious Basterds,inglourious basterds,21,42,0,26,0,27
10525,Memento,memento,0,33,0,24,0,25
