itemid,name,topicid,TopicName,comment,yes,no,voteSum,scores,death_confirmed,emotionality,intentionality,species
20378,The Righteous Gemstones,189,an animal dies,A plague of locusts sweeps through a scene and many die.,1,0,2,,yes,2,accidental,locust
20152,Amphibia,153,a dog dies,"PARENTS: if your child is sensitive, I personally recommend watching True Colours and Olivia and Yunan before your child watches. 
The series starts off much less dramatic. :)
NOTE: no the dog doesn’t die, I just wanted to add this somewhere easy to see.",0,1,1,,no,NA,NA,NA
671246,Brooklyn Nine-Nine,153,a dog dies,charles boyles dog dies from a heart attack however there is no show of it in anyways  they do hold a memorial service for him though,1,0,1,,yes,3,accidental,dog
871612,The Dropout,153,a dog dies,E5: Two dogs are sitting outside of a door crying. Both are fine and nothing bad happens to either of them.,0,1,2,,no,NA,NA,NA
1264189,American Primeval,189,an animal dies,"Multiple animals (pig, bear) seen being skinned, bled and butchered (but not killed)",1,0,2,,ambiguous,3,deliberate,pig; bear
13824,Total Drama Island,189,an animal dies,"At one point, Chris accidentally shoots a bald eagle out of the sky.",1,0,1,,ambiguous,2,accidental,bald eagle
201240,The End of the F***ing World,189,an animal dies,Two bunnies and a guinea pig as well as mice and bugs.,1,0,3,,ambiguous,NA,ambiguous,rabbit; guinea pig; mouse; insect
26072,Law & Order: Special Victims Unit,186,a cat dies,"S6E2, they're looking for a dead body and dig up a dead cat in a box instead. Very minor but still upsetting if unexpected or if you're a cat lover. Skip from about 32:00 to about 32:30 to avoid.",1,0,3,,yes,2,ambiguous,cat
12956,The Leftovers,189,an animal dies,"There is a moment where the police officee character hits a deer out of nowhere. The next scene has him awaking in his bedroom, so not clear if the event really happened. Also, at the end of the episode a pack on dogs attacks a deer",1,0,1,,ambiguous,2,accidental,deer
13590,Dexter,153,a dog dies,"There are multiple references to the neighbor’s dog being killed by Dexter when he was a teenager, but nothing is ever shown. It is also mentioned that the dog was being detrimental to the health of Dexter’s mother.",0,1,11,,yes,2,deliberate,dog
883641,The Last of Us,153,a dog dies,Dogs released as part of fighting against the diseased. Whining and violence. No dog seen dead.,1,0,17,,no,NA,NA,NA
17633,Mindhunter,153,a dog dies,"In S1:E02 at about 41 minutes, Ed Kemper talks about strangling cats and dogs and burying them",1,0,2,,ambiguous,2,deliberate,dog; cat
946305,The Devil's Hour,153,a dog dies,Description of a dog being run over by a car. It is not shown. 11:13 minutes into Episode 4.,1,0,1,,yes,2,accidental,dog
18413,Mr. Mercedes (Season 1),153,a dog dies,"Someone wants to feed a dog poison, but is disturbed and the dog is left unharmed. SUPER Cute dog, by the way",0,1,4,,no,NA,NA,NA
1070646,True Detective,153,a dog dies,"A dog is killed by it's owner during the last episode. You don't see it happen, but you hear the dog yelp briefly and it's body is shown a few seconds later.",1,0,2,,yes,3,deliberate,dog
26240,Fallout,189,an animal dies,"Within the first minute of S1 E2, a living newborn puppy yelps as it is placed in a incinerator.",1,0,6,,yes,4,deliberate,dog
624068,Young Justice,153,a dog dies,A main character's pet dog is killed during what is later revealed to be a simulation - but the viewer doesn't know this at the time.,1,0,3,,ambiguous,4,deliberate,dog
734587,Alice in Borderland,153,a dog dies,no dog,0,1,5,,no,NA,NA,NA
26072,Law & Order: Special Victims Unit,186,a cat dies,"S6E6, a kid mentions harassing a domestic cat and accidentally killing it.
Later implied to have been either a lie, or done on purpose.",1,0,2,,ambiguous,2,ambiguous,cat
1039441,The Lost Flowers of Alice Hart,153,a dog dies,"There is a dog in the episode, BUT YOU DO NOT SEE IT DIE. People assume it did because of the fire.",0,1,1,,ambiguous,3,accidental,dog
79530,Father Brown,153,a dog dies,"A dead dog is found in a vat of wine. It is seen in the vat, laid out on the ground and laying on the ground after a car hit it",1,0,3,,yes,3,ambiguous,dog
13736,Ozark,189,an animal dies,"19:56-21:40 the son finds a deceased coyote in the woods and disembowels it. (You'll miss a very short phone call asking Martin for 10 grand by Ruth because of ""security cameras"" in the strip club if u skip this)",1,0,1,,ambiguous,2,ambiguous,coyote
681157,In the Dark,153,a dog dies,"Episode 4. 

Dog is shot and can hear it yelp.",1,0,2,,ambiguous,3,deliberate,dog
20451,Carnival Row,189,an animal dies,The pet baby bear of the chancellor is graphically sacrificed and gutted.,1,0,8,,yes,4,deliberate,bear
823045,The Devil Judge,189,an animal dies,Skip 00:55:05–00:55:10 to avoid the scene where the bird is killed.,1,0,1,,yes,3,ambiguous,bird
659413,Raised by Wolves,189,an animal dies,"In s01e02 a character shoots a kills a rat, and then very graphically show it being cut and prepared to eat. It's later eaten on screen",1,0,3,,yes,2,deliberate,rat
1072631,House of the Dragon,189,an animal dies,"The scene with the stag absolutely wrecked me. I couldn't watch it at all. I covered my eyes and ears, and my bf turned the volume way down. I still ended up crying after the scene, and bf was affected as well. He didn't turn down the volume specifically for me, it was already pretty quiet, and I covered my eyes. But he all but muted the tv during that scene because of how bad it was. Though you absolutely have time to prepare and know when to skip, it's not from one scene to another it happens.",1,0,1,,ambiguous,5,ambiguous,deer
27892,Avatar: The Last Airbender,189,an animal dies,"Lots of fish, dragons, bisons etc. Not all deaths are visible however.",1,0,11,,yes,2,ambiguous,fish; dragon; bison
855494,From,189,an animal dies,"Around the 37-38 min mark, a crow flies through a window and dies. You can tell it’s a CGI animal but still a distressing way to see a bird die.",1,0,6,,yes,4,accidental,crow
15505,Sharp Objects,189,an animal dies,"Despite the town being dependent on the factory farm, and the many characters connected to it, there are NO on-screen animal deaths for the entirety of the series, beyond some details that imply it happens regularly in the town, like the workers with bloody clothes, or everyone in town eating large quantities of bacon, sausage, and ham. So, this category really should be 100% NO votes.",0,1,3,,no,NA,NA,NA
868115,Yellowjackets,153,a dog dies,"Yes, season finale is horribly graphic — avoid the basement scene — so sick of this stupid trope",1,0,36,,ambiguous,5,ambiguous,unknown
13640,Lost,189,an animal dies,"Many fish and boar, and a chicken are killed for food. A polar bear is killed on screen and a shark is killed. Sawyer kills a frog with his bare hands in season 2. Ben shakes a bunny seemingly to death in season 3 but it’s actually just a sedative and the bunny is ultimately ok. In season 5 Sayyid as a child kills a chicken.",1,0,11,,yes,2,deliberate,fish; boar; chicken; polar bear; shark; frog
69294,Beastars,189,an animal dies,one of the first scenes shows an animal being murdered.,1,0,2,,yes,3,deliberate,unknown
19260,Chernobyl,153,a dog dies,"Unfortunately, Glaxona13, the Chernobyl liquidators did shoot healthy companion animals, under the rationale that it was necessary to stop the spread of radiation. In fact, there’s a story from one of the liquidators in Svetlana Alexievich’s oral history of the disaster, Voices from Chernobyl, that’s significantly more upsetting than what the series shows. In the companion Chernobyl podcast, they even discuss that they shot the more upsetting story but decided that showing it would be gratuitous, so they cut it. But the liquidators did not kill all the pet dogs, and their descendants still live in Chernobyl today! You can help a group that takes care of them, or just see cute pictures of them : https://cleanfutures.org/projects/dogs-of-chernobyl/. Before covid, some of them were even being adopted by US families! https://www.google.com/amp/s/www.buzzfeednews.com/amphtml/janelytvynenko/rescue-dogs-chernobyl",1,0,7,,yes,4,deliberate,dog
21342,Tom Clancy's  Jack Ryan,153,a dog dies,"Yes, Season 2 Episode 1. The dog is brutally stabbed multiple times while defending his master.  The dog cries out and is seen lying dead on the floor.",1,0,7,,yes,5,deliberate,dog
38123,Killing Eve,153,a dog dies,villanelle is shown a picture of a dead dog at the psychologist in the second episode. it appears briefly then isn't brought up again.,1,0,16,,ambiguous,1,ambiguous,dog
127201,Big Love,189,an animal dies,"Again, they shoot a wolf to protect themselves in a hunting trip.",1,0,2,,yes,2,deliberate,wolf
22447,The Outsider,189,an animal dies,A deer is shot by a hunter,1,0,2,,yes,2,deliberate,deer
15398,Yellowstone,189,an animal dies,Many animals die,1,0,2,,yes,3,ambiguous,unknown
51155,Russian Doll,186,a cat dies,"Kinda? The cat doesn't die, but does disappear from existence.

Oatmeal comes back into existence later on, and is just fine",0,1,2,,no,NA,NA,NA
667192,Midnight Mass,189,an animal dies,"Crabs are shown being pulled out of the water at episode 2, around 37:30. They are not shown being harmed further in that scene.",1,0,3,,ambiguous,1,ambiguous,crab
769624,Them,153,a dog dies,"Ep 1, 45mins 10secs - 45mins 30secs don't watch.

Ep 2, 35secs - 45secs don't watch
Ep 2, 12mins 25secs - 12mins 32secs don't watch
Ep 2, 14mins 55secs - 15mins 10secs don't watch
Ep 2, 50 mins in when the dad is eating pie it is interspersed with scenes of burying the dog",1,0,17,,yes,4,ambiguous,dog
14245,Homeland,189,an animal dies,A deer is shot in episode 4 of season 1,1,0,3,,yes,2,deliberate,deer
12839,The Walking Dead,189,an animal dies,several chickens are fed to walkers,1,0,3,,yes,2,deliberate,chicken
19580,Veronica Mars,153,a dog dies,"yes technically but only because the show is spread across 15 years and they have a dog right at the beginning, it's not talked about tho. 
(SPOILER)
S1 episode hot dogs has a brief period where a character thinks her dog is dead and this is talked about but turns out to be a lie",1,0,2,,ambiguous,2,ambiguous,dog
14280,The Alienist,186,a cat dies,Episode 9 - 20 minutes in a dead cat is shown badly injured,1,0,3,,yes,2,ambiguous,cat
13789,It's Always Sunny in Philadelphia,186,a cat dies,S3E8,0,1,1,,ambiguous,NA,NA,NA
632885,The Following,189,an animal dies,"At the very end of episode 3, first season, a little boy is coerced into suffocating a mouse in a jar. We don't actually see the mouse die, but the scene is disturbing.",1,0,1,,ambiguous,4,deliberate,mouse
23330,The X-Files,153,a dog dies,"S6 E2

Dog’s head explodes. You don’t see it directly but you see the aftermath.",1,0,2,,yes,3,ambiguous,dog
644560,Okupas,153,a dog dies,In the last episode. Sad :(,1,0,1,,ambiguous,4,ambiguous,unknown
13823,BoJack Horseman,153,a dog dies,"No on-screen deaths. Mr. Peanutbutter realizes that his dog parents, who were ""sent to a farm"" actually died long ago.",1,0,6,,ambiguous,4,ambiguous,dog
14413,Happy Valley,153,a dog dies,Poisoned dogs in opening scenes of season 2 episode 1. Very distressing.,1,0,3,,yes,5,deliberate,dog
13602,Fargo,189,an animal dies,Rottweiler is killed and they show its dead body with blood on the snow,1,0,3,,yes,3,deliberate,dog
13786,The Sopranos,153,a dog dies,Dog gets sat on and dies.,1,0,1,,yes,2,accidental,dog
599240,Red Dwarf,186,a cat dies,"A humanoid cat dies on-screen in ""Waiting For God"". The same episode also refers to multiple off-screen deaths among the cat people, including their killing one another in religious disputes, a group of cats flying directly into an asteroid, and the sick and injured being abandoned to die. Lister's pet cat, Frankenstein (who appears in ""The End""), passes on during his time in stasis, but her death is not depicted on-screen.",1,0,1,,yes,2,ambiguous,cat
64761,Mob Psycho 100,186,a cat dies,(Ch. 65) A cat is killed off-camera. The body is shown.,1,0,2,,yes,2,deliberate,cat
1070646,True Detective,189,an animal dies,"Toward the end of the episode, a dead animal and dead bird are shown",1,0,2,,yes,2,ambiguous,unknown; bird
13541,Outlander,186,a cat dies,The cat is missing after the incident in this episode but is found alive in the next episode,0,1,2,,no,NA,NA,NA
599049,Sex and the City,189,an animal dies,S06E04 - a mouse is hit with a frying pan by Aleksandr within first couple of minutes.,1,0,3,,ambiguous,2,deliberate,mouse
599319,Still Game,153,a dog dies,Dog jumps to its death from a high building.,1,0,1,,yes,3,ambiguous,dog
15398,Yellowstone,153,a dog dies,The dog scene is at the 6 - 8 minute mark.,1,0,1,,ambiguous,NA,NA,NA
599176,Aqua Teen Hunger Force,186,a cat dies,Kittens are killed brutally in a few episodes and colon movie for laughs.,1,0,1,,yes,3,deliberate,cat
20889,The Capture,153,a dog dies,"Ep. 5 series 1.

When the lights go out in the house stop watching for 5 mins if you don't want to see.",1,0,2,,ambiguous,4,ambiguous,dog
35862,The Missing,153,a dog dies,"Not shown, but a story is told about a dog dying",1,0,1,,yes,2,ambiguous,dog
13952,Bob's Burgers,189,an animal dies,"The taxidermy squirrels were very disturbing to me, and the old lady graphically rips one apart. There is audio gore and a fair amount of blood in the scenes with the squirrels. I thought the skinning scene was uncharacteristically graphic and disgusting for the show.",1,0,3,,ambiguous,3,ambiguous,squirrel
14076,Wild Kratts,189,an animal dies,"Some animals do die, but this is a rare occurrence.",1,0,4,,yes,2,ambiguous,unknown
1070646,True Detective,189,an animal dies,There is talk about two cats being pinned to a church door but also a dead dog is shown briefly in the last episode. We don't see the dog die but we hear it yelp.,1,0,1,,yes,2,ambiguous,cat; dog
13669,The Originals,153,a dog dies,Can anyone tell me when???,1,0,1,,ambiguous,NA,NA,NA
