itemid,name,topicid,TopicName,comment,yes,no,voteSum,scores,death_confirmed,emotionality,on_screen,intentionality,species,named_animal,plot_point
11528,The 13th Warrior,153,a dog dies,The dog is seen at the end of the movie safe.,0,1,1,,no,NA,NA,NA,NA,NA,NA
12337,This Is the End,153,a dog dies,Near the beginning of the film we see a photo of a pet dog and are told it is incontinent. Near the end of the film the dog is very briefly seen (with no signs of incontinence). Arguments could be made for giving the film a :'-( but since nothing bad happe,0,1,16,,no,NA,NA,NA,NA,NA,NA
20001,Maurice,189,an animal dies,"a few wild rabbits are hunted, and one audibly has its neck snapped.",1,0,8,,yes,2,ambiguous,deliberate,rabbit,no,no
37235,Suspicion,153,a dog dies,"There is a wonderful dog, but he is unharmed.",0,1,1,,no,NA,NA,NA,NA,NA,NA
9173,City Slickers,189,an animal dies,Two horses die and their graves are shown.,1,0,3,,yes,2,ambiguous,ambiguous,horse,ambiguous,ambiguous
13293,District 9,189,an animal dies,"The aliens primarily eat raw meat and there are many cow carcasses on screen as a result. Body parts of pigs and sheep are also shown and mutilated in various ways, but no animal (beside maybe the sentiant aliens, depending on your definition of 'animal') is actively killed on screen. All are already dead before they are on screen.",1,0,2,,yes,2,off_screen,deliberate,"cow, pig, sheep",no,no
10093,Insidious,189,an animal dies,There are no animals in this movie,0,1,6,,no,NA,NA,NA,NA,NA,NA
9749,Ginger Snaps,153,a dog dies,*spoilers***   The scenes with the dogs look real fake.  I hate animal death scenes especially the yelping. But this is one of my favorite movies.  Yes theres a part where they show a dead dog and it looks really fake. There is one part where Ginger kicks the rottwelier but its very quick and its because he was barking at her because he knew she wasn't herself.  Its not graphic and it's a very very quick Yelp I barely heard it.   There is a part where the sisters find a dead dog and try moving it and one of its legs comes off.. again looks really fake.  If you're extremely sensitive to even the slightest amount of gore with a dog.. then yes.. stay away but its not that bad.  Ginger does eat the neighbors dog but it does not show in scene only the aftermath where she's throwing up the blood.,1,0,23,,yes,2,off_screen,deliberate,dog,no,ambiguous
38125,The Gold Rush,189,an animal dies,A bear is shot and eaten off screen.,1,0,1,,yes,2,off_screen,deliberate,bear,no,no
8772,August: Osage County,153,a dog dies,"A story is told about pet parakeets dying from the heat. Since the birds are only mentioned and never seen, we're not counting them as actual deaths.",0,1,15,,ambiguous,NA,NA,NA,NA,NA,NA
9972,Hook,153,a dog dies,"Nana, a sheepdog, shows up in a few scenes and is not harmed.",0,1,15,,no,NA,NA,NA,NA,NA,NA
12823,La La Land,153,a dog dies,A lighthearted romp where neither animals nor people are in danger.,0,1,15,,no,NA,NA,NA,NA,NA,NA
41795,[REC],189,an animal dies,the health inspector suggests that the little girl's dog got a bunch of other animals infected. it's only said not seen,1,0,2,,ambiguous,NA,NA,NA,NA,NA,NA
221002,Possessor,186,a cat dies,In the uncut version (on Hulu Oct 2023) there is a flash of a cat laying in a pool of blood,1,0,1,,ambiguous,2,on_screen,ambiguous,cat,no,ambiguous
12313,The Wolf of Wall Street,189,an animal dies,Someone eats a fish alive,1,0,7,,ambiguous,NA,NA,NA,NA,NA,NA
9985,Hot Rod,189,an animal dies,"A raccoon is run over, it isn’t shown but it’s directly bragged about and you hear it and see the car jump :(",1,0,2,,yes,3,off_screen,deliberate,raccoon,no,ambiguous
12547,Watchmen,186,a cat dies,Ozymandias’ genetically altered cat is disintergrated,1,0,6,,yes,2,on_screen,ambiguous,cat,ambiguous,ambiguous
17769,Octopussy,189,an animal dies,"Bond kills a spider, and possibly a leech.",1,0,1,,ambiguous,NA,NA,NA,NA,NA,NA
17233,"4 Months, 3 Weeks and 2 Days",186,a cat dies,No. There are two kittens in this movie and they are safe! It seems several people have been trolling by voting yes for everything for some reason.,0,1,1,,no,NA,NA,NA,NA,NA,NA
9861,Hannibal,189,an animal dies,A dead pigeon is shown.,1,0,7,,yes,1,off_screen,ambiguous,pigeon,no,no
10993,Ratatouille,189,an animal dies,Dead rats are briefly shown hanging from mousetraps in a store window.,1,0,10,,yes,1,off_screen,deliberate,rat,no,no
9205,Coming to America,153,a dog dies,In the room they rent in queens the outline of a dog is on the floor that was clearly killed (you don’t actually see the dog) and the man says “damn shame what they did to that dog”,1,0,3,,yes,2,off_screen,deliberate,dog,no,no
13795,Homeward Bound: the Incredible Journey,186,a cat dies,"Two dogs and a cat end up in perilous situations while trying to get home. There are moments when it appears one or another of the animals has died, but in the end they all survive.",1,0,18,,no,NA,NA,NA,NA,NA,NA
1070684,Dune: Part Two,153,a dog dies,No dogs in this movie,0,1,14,,no,NA,NA,NA,NA,NA,NA
13685,National Lampoon's Christmas Vacation,186,a cat dies,"A cat dies from being electricuted. It's extremely upsetting, especially because everyone just laughs rather than recognizing the cat's death. Awful",1,0,40,,yes,4,ambiguous,accidental,cat,ambiguous,no
1010141,Contagion,189,an animal dies,"Monkeys and pigs.  You don't see them die, you just see them alive, then dead.",1,0,3,,yes,2,off_screen,ambiguous,"monkey, pig",no,no
10543,Midnight Express,186,a cat dies,A cat gets hanged.,1,0,3,,yes,3,ambiguous,deliberate,cat,no,ambiguous
14819,Out of Africa,189,an animal dies,"There is hunting at the beginning of the film and a bird is shot out of the sky. An ox is attacked by a lion, which begins eating it alive until they chase it off. The ox's death is not shown but it moans in pain and presumably dies. Two lions are shot.",1,0,3,,yes,3,ambiguous,ambiguous,"bird, ox, lion",no,no
11577,The Beastmaster,189,an animal dies,"One of the ferrets dies by saving Dar from Maax. Pretty sad death, but just know that the ferret is a good actor.",1,0,1,,yes,4,ambiguous,accidental,ferret,ambiguous,yes
17387,The Whole Truth,186,a cat dies,The cat is accidentally poisoned but what is shown is a high quality photo of a cat just resting with a pool of fake blood. The above comment was unwarranted and xenophobic.,1,0,2,,yes,2,on_screen,accidental,cat,ambiguous,ambiguous
32028,The Addams Family,189,an animal dies,Mentioned but not shown,1,0,1,,ambiguous,NA,NA,NA,NA,NA,NA
14249,Escape Room,189,an animal dies,No live animals are shown in the film. There are some models ( which might be stuffed dead ones ) and some mounted deer antlers.,0,1,8,,no,NA,NA,NA,NA,NA,NA
11979,The Lorax,189,an animal dies,"They don't die, but are sent to live elsewhere once their home is polluted.",0,1,4,,no,NA,NA,NA,NA,NA,NA
14609,Enchanted,189,an animal dies,A cockroach is eaten by a pigeon,1,0,6,,yes,1,ambiguous,accidental,cockroach,no,no
9512,Escape From Alcatraz,189,an animal dies,"The protagonist, Frank Morris, scoops up a deceased friend's pet mouse to take on the escape. 

He puts the mouse in his trouser pocket and then later wades chest high into the water. The mouse is never seen again. 

There is also a rat that is thrown down a vent shaft.",1,0,1,,ambiguous,NA,NA,NA,NA,NA,NA
13150,The Beguiled,153,a dog dies,"These comments belong under ""Does an Animal Die"" not dogs. A turtle is obviously not a dog.",0,1,4,,ambiguous,NA,NA,NA,NA,NA,NA
19052,Osmosis Jones,189,an animal dies,"No, but Frank does try to choke a Monkey for stealing his egg early on in the movie (He fails spectacularly)",0,1,1,,no,NA,NA,NA,NA,NA,NA
14544,Evil Dead,189,an animal dies,"Yes, the main character kills the dog. Unnecessary.",1,0,15,,yes,3,ambiguous,deliberate,dog,ambiguous,ambiguous
9976,Horns,186,a cat dies,Didn't find a seperate listing for the book. In chapter 37 a cat is murdered.,1,0,1,,ambiguous,NA,NA,NA,NA,NA,NA
22993,The Mummy,186,a cat dies,No cats are harmed. The white cat used to scare the mummy is fine.,0,1,5,,no,NA,NA,NA,NA,NA,NA
11193,Serpico,153,a dog dies,The dog stays besides him till the end.,0,1,2,,ambiguous,NA,NA,NA,NA,NA,NA
9300,Dawn of the Planet of the Apes,153,a dog dies,"While hunting, the apes move in on a deer they injured and it looks like they are about to kill it. Out of nowhere, a bear jumps out and attacks the apes. They fight back and eventually kill the bear. While its not clear, the deer probably got away.",1,0,14,,yes,2,on_screen,deliberate,bear,no,no
9621,Flight of the Navigator,153,a dog dies,"Amazingly, the boy disappears for eight years and when he comes back the dog is still alive! Bravo!",0,1,2,,no,NA,NA,NA,NA,NA,NA
