itemid,name,topicid,TopicName,comment,yes,no,voteSum,scores,death_confirmed,emotionality,on_screen,intentionality,species,named_animal,plot_point
12363,Time Bandits,153,a dog dies,A man is turned in to a dog and then magically exploded.,1,0,15,,ambiguous,2,on_screen,deliberate,dog,no,ambiguous
45059,Desperately Seeking Susan,189,an animal dies,"There’s a cute cat that pops by Dez’s but nothing ever happens to him beyond cutely lapping up milk:)
",0,1,1,,no,NA,NA,NA,NA,NA,NA
11770,The Fly,186,a cat dies,"technically doesn't die, but it does get lost during the teleportation process and disappears",0,1,1,,no,NA,NA,NA,NA,NA,NA
739249,Men in Black,186,a cat dies,An alien disguised as a talking dog is shaken during an interrogation and a cat is grabbed by an alien who is after its collar. Both are unharmed.,0,1,15,,no,NA,NA,NA,NA,NA,NA
80708,What Lies Beneath,153,a dog dies,"Cooper the dog is nowhere to be found outside in one scene and it made me nervous, but he turns up later.",0,1,8,,no,NA,NA,NA,NA,NA,NA
13546,Big Fish,186,a cat dies,"Several cats are seen throughout the film, but very briefly as they run on and off camera. The only animal deaths are mentions of a dog's bones being used by a witch for a spell, and a wolf eating a rabbit. Neither are shown on screen.",0,1,1,,no,NA,NA,NA,NA,NA,NA
14387,Annihilation,153,a dog dies,No dogs in movie,1,0,11,,no,NA,NA,NA,NA,NA,NA
11229,Sherlock Holmes,153,a dog dies,"Sherlock experiments on Watson's dog, Gladstone, and makes him appear dead but the dog recovers and is unharmed.",1,0,18,,no,NA,NA,NA,NA,NA,NA
41327,The Wild Bunch,153,a dog dies,There's a starving dog with their ribs visible,1,0,1,,ambiguous,3,on_screen,ambiguous,dog,no,ambiguous
1071827,Abigail,189,an animal dies,"A rat is implied to be eaten offscreen, as we hear it squeak in pain once the character looking at it turns his back. We don't see it again.",1,0,10,,ambiguous,2,off_screen,ambiguous,rat,no,no
11177,Secret Window,189,an animal dies,"The man stalking the author kills his dog, you see the dog’s face very briefly, happens about 25:01",1,0,1,,yes,3,aftermath,deliberate,dog,ambiguous,yes
12935,The Square,153,a dog dies,There is no dog death in the 2017 film 'The Square' starring Elisabeth Moss. There are two comments on this that say there's a dog death and they are referring to a different thing.,0,1,3,,no,NA,NA,NA,NA,NA,NA
1111420,Gladiator II,189,an animal dies,"Lucius has to fight a baboon, he bites in the baboons arm and kills it after.
In the colloseum they need to fight a gladiator on a rhino. Lucius lures him, and the rhino smashes into the brick wall. His horn is completely broken, covered in blood.
",1,0,7,,ambiguous,2,on_screen,ambiguous,baboon; rhino,no,no
74468,Centurion,189,an animal dies,An elk is hunted,1,0,1,,ambiguous,2,ambiguous,deliberate,elk,no,ambiguous
10347,Legend of the Guardians: the Owls of GaHoole,153,a dog dies,There are zero dogs in this film. Nothing but owls and birds.,0,1,1,,no,NA,NA,NA,NA,NA,NA
10399,Lone Survivor,189,an animal dies,Several animals in the film - including goats and a duck. None actually die.,0,1,1,,no,NA,NA,NA,NA,NA,NA
9658,Frankenweenie,189,an animal dies,The other reanimated pets end up dying permanently.,1,0,3,,yes,3,ambiguous,ambiguous,unknown,no,ambiguous
