itemid,name,topicid,TopicName,comment,yes,no,voteSum,scores,death_confirmed,emotionality,intentionality,species
8446,10 Cloverfield Lane,153,a dog dies,"Two dead pigs, named Frank and Mildred, are seen briefly (they are never shown alive). Though we don't know for sure what happens to the tank of goldfish seen throughout the film, it is unlikely they survived.",1,0,17,,no,NA,NA,NA
8446,10 Cloverfield Lane,189,an animal dies,Two pigs are shown dead.,1,0,2,,yes,2,ambiguous,pig
8473,22 Jump Street,153,a dog dies,"An octopus, a cockatoo, an iguana, a burro, several pigs and some doves all appear in the film; none are harmed. A few animated chickens are shot in a video game sequence at the end of the movie, but we're not counting them.",0,1,16,,no,NA,NA,NA
8474,24 Hour Party People,153,a dog dies,Three thousand pigeons are killed by being fed poisoned bread. Except the movie breaks the fourth wall and claims that it's only a reenactment. But it's reenactment of something that actually happened in real life. So... we're going to count it.,1,0,15,,no,NA,NA,NA
8475,25Th Hour,153,a dog dies,A dog is severely injured but recovers.,1,0,15,,no,NA,NA,NA
8477,28 Days Later,153,a dog dies,No dogs die or are implied to die.,0,1,24,,no,NA,NA,NA
8477,28 Days Later,189,an animal dies,Chimpanzees die in a lab.,1,0,14,,yes,3,ambiguous,chimpanzee
8479,30 Days of Night,153,a dog dies,"At around 7:30 is the first scene, skip ahead 30 seconds after the dogs start barking.

At 11:45 to 12:30 the dogs bodies are shown, after a birdeye view of the town.",1,0,16,,ambiguous,2,ambiguous,dog
8501,A Bug's Life,189,an animal dies,Hopper (a Grasshopper) was Eaten by A Baby Bird. No Animals Nothing Died In This Film,1,0,1,,ambiguous,2,accidental,grasshopper
8508,A Christmas Story,153,a dog dies,One of the Bumpus hounds gets an ear stuck in the door but none suffer any lasting harm.,0,1,15,,no,NA,NA,NA
8508,A Christmas Story,189,an animal dies,"No, however a dead duck is served as food with the head still on, and then decapitated, which some viewers may find disturbing.",0,1,2,,ambiguous,2,deliberate,duck
8511,A Clockwork Orange,153,a dog dies,The main character has a pet boa constrictor named Basil. He is told later in the film that Basil met with an accident and passed away (we do not see the snake die). There is a home invasion at a house filled with many cats but none of them are harmed.,1,0,17,,no,NA,NA,NA
8511,A Clockwork Orange,189,an animal dies,The main character's pet snake dies offscreen while he is away.,1,0,5,,yes,3,ambiguous,snake
8524,A Fish Called Wanda,153,a dog dies,"Three dogs are inadvertently killed when one of the main characters tries to kill the dogs' owner to prevent her from testifying in court. Additionally, several pet fish are eaten alive by another character including Wanda.",1,0,14,,yes,3,accidental,dog; fish
8524,A Fish Called Wanda,189,an animal dies,"In addition to the dogs mentioned elsewhere, there's a scene toward the end where one of the main characters eats several live fish",1,0,4,,yes,2,deliberate,fish
8525,A Girl Walks Home Alone At Night,186,a cat dies,"Though there are many tense threatening moments, the freaking adorable cat is never hurt and receives only cuddles.",0,1,18,,no,NA,NA,NA
8532,A Hard Days Night,189,an animal dies,"A bird gets crushed in a magician’s jacket sleeve, he then crosses out that he has 10 birds and writes 9",1,0,1,,yes,2,accidental,bird
8545,A Most Violent Year,153,a dog dies,"A deer is hit by a car, severely injured, and is then shot several times and killed.",1,0,14,,no,NA,NA,NA
8547,A Nightmare On Elm Street,153,a dog dies,"In the 1984 version, there is no dog. In the 2010 remake, a dog does die. However this is the entry for the 1984 version so I think people got confused which is why there are so many yes"" entries.",0,1,16,,no,NA,NA,NA
8556,A Serious Man,186,a cat dies,"I just watched the movie, I don't remember a cat being poisoned for real. A physics professor lectures about the Schrodinger's cat thought experiment.",0,1,1,,no,NA,NA,NA
8558,A Single Man,153,a dog dies,A dead dog is seen lying in the snow after a car accident.,1,0,16,,yes,3,accidental,dog
8563,A Time to Kill,153,a dog dies,"It seems at first the dog was killed in a house fire, but returns the next day in good health.",0,1,15,,no,NA,NA,NA
8565,A Walk Among the Tombstones,153,a dog dies,"After disappearing into another room, a Rottweiler named Watson is seen lying on the floor with his leg twitching, apparently dying. However, the next day he is seen and seems to be fine, so his condition was only temporary (perhaps he was given a tranquil",1,0,15,,no,NA,NA,NA
8570,A.I. Artificial Intelligence,153,a dog dies,The teddy bear does not die.,0,1,2,,no,NA,NA,NA
8575,Abominable,153,a dog dies,I have no idea why people said yes to this. There is no dog in the movie.,0,1,1,,no,NA,NA,NA
8581,Ace Ventura: Pet Detective,153,a dog dies,"A dolphin is kidnapped but is later recovered, unharmed. Many pets appear in the film and none of them are harmed either.",0,1,16,,no,NA,NA,NA
